Datetime,UV,IRTemp,Water_Pressure,Water_Level
2020-12-21 15:30,305.795,-6.016,371.094,0.0
2020-12-21 16:00,306.485,-11.553,394.531,0.0
2020-12-21 16:30,308.019,-5.811,421.875,0.0
2020-12-21 17:00,309.169,-6.953,453.125,0.0
2020-12-21 17:30,309.936,-7.568,480.469,0.0
2020-12-21 18:00,310.32,-8.037,488.281,0.0
2020-12-21 18:30,310.703,-9.209,511.719,0.0
2020-12-21 19:00,311.087,-10.176,511.719,0.0
2020-12-21 19:30,311.47,-11.025,523.438,0.0
2020-12-21 20:00,311.854,-11.729,531.25,0.0
2020-12-21 20:30,311.854,-12.168,558.594,0.0
2020-12-21 21:00,312.237,-12.783,562.5,0.0
2020-12-21 21:30,312.237,-13.311,562.5,0.0
2020-12-21 22:00,312.621,-13.926,578.125,0.0
2020-12-21 22:30,312.621,-14.424,601.562,0.0
2020-12-21 23:00,313.004,-14.775,597.656,0.0
2020-12-21 23:30,313.004,-15.127,613.281,0.0
2020-12-22 00:00,313.004,-15.537,605.469,0.0
2020-12-22 00:30,313.158,-15.771,617.188,0.0
2020-12-22 01:00,313.388,-16.24,621.094,0.0
2020-12-22 01:30,313.388,-16.592,617.188,0.0
2020-12-22 02:00,313.464,-16.885,613.281,0.0
2020-12-22 02:30,313.694,-17.266,621.094,0.0
2020-12-22 03:00,313.771,-17.412,636.719,0.0
2020-12-22 03:30,313.771,-17.676,652.344,0.0
2020-12-22 04:00,313.771,-17.998,636.719,0.0
2020-12-22 04:30,313.771,-18.32,648.438,0.0
2020-12-22 05:00,313.924,-18.643,644.531,0.0
2020-12-22 05:30,314.155,-18.818,656.25,0.0
2020-12-22 06:00,314.155,-19.111,652.344,0.0
2020-12-22 06:30,314.155,-19.258,679.688,0.0
2020-12-22 07:00,314.155,-19.434,671.875,0.0
2020-12-22 07:30,314.538,-19.551,683.594,0.0
2020-12-22 08:00,314.538,-18.965,679.688,0.0
2020-12-22 08:30,312.237,-17.939,625.0,0.0
2020-12-22 09:00,309.936,-16.006,519.531,0.0
2020-12-22 09:30,308.403,-13.633,488.281,0.0
2020-12-22 10:00,307.252,-10.703,421.875,0.0
2020-12-22 10:30,306.102,-8.506,398.438,0.0
2020-12-22 11:00,305.642,-6.396,339.844,0.0
2020-12-22 11:30,305.335,-4.785,289.062,0.0
2020-12-22 12:00,307.252,-3.525,195.312,0.0
