Datetime,Air_Temp,RH
2020-12-10 18:33,6.81,41.05
2020-12-10 18:35,6.83,41.46
2020-12-10 18:37,6.88,41.44
2020-12-10 18:39,6.86,41.4
2020-12-10 18:41,6.87,41.64
2020-12-10 18:43,6.86,41.81
2020-12-10 18:45,6.91,41.78
2020-12-10 18:47,6.93,41.79
2020-12-10 18:49,6.94,41.65
2020-12-10 18:51,6.99,41.8
2020-12-10 18:53,6.99,41.69
2020-12-10 18:55,7.01,41.53
2020-12-10 18:57,7.05,41.52
2020-12-10 18:59,7.11,41.72
2020-12-10 19:01,7.1,41.71
2020-12-10 19:03,7.17,41.65
2020-12-10 19:05,7.2,41.77
2020-12-10 19:07,7.24,41.74
2020-12-10 19:09,7.26,41.85
2020-12-10 19:11,7.29,41.91
2020-12-10 19:13,7.28,41.69
2020-12-10 19:15,7.34,41.64
2020-12-10 19:17,7.38,41.59
2020-12-10 19:19,7.44,41.31
2020-12-10 19:21,7.42,41.16
2020-12-10 19:23,7.48,40.98
2020-12-10 19:25,7.53,40.95
2020-12-10 19:27,7.55,40.9
2020-12-10 19:29,7.57,41.05
2020-12-10 19:31,7.59,40.98
2020-12-10 19:33,7.6,40.99
2020-12-10 19:35,7.63,41.13
2020-12-10 19:37,7.67,40.8
2020-12-10 19:39,7.7,40.57
2020-12-10 19:41,7.72,40.52
2020-12-10 19:43,7.73,40.47
2020-12-10 19:45,7.77,40.35
2020-12-10 19:47,7.78,40.12
2020-12-10 19:49,7.82,39.85
2020-12-10 19:51,7.82,39.82
2020-12-10 19:53,7.79,39.97
2020-12-10 19:55,7.84,39.79
2020-12-10 19:57,7.84,39.9
2020-12-10 19:59,7.88,39.65
2020-12-10 20:01,7.9,39.73
2020-12-10 20:03,7.89,39.46
2020-12-10 20:05,7.89,39.49
2020-12-10 20:07,7.9,39.48
2020-12-10 20:09,7.93,39.33
2020-12-10 20:11,7.96,39.21
2020-12-10 20:13,7.92,39.15
2020-12-10 20:15,7.96,39.14
2020-12-10 20:17,7.94,39.03
2020-12-10 20:19,7.94,38.85
2020-12-10 20:21,7.96,38.74
2020-12-10 20:23,7.96,38.72
2020-12-10 20:25,7.97,38.67
2020-12-10 20:27,7.97,38.58
2020-12-10 20:29,7.96,38.43
2020-12-10 20:31,7.94,38.23
2020-12-10 20:33,7.94,38.03
2020-12-10 20:35,7.96,37.94
2020-12-10 20:37,7.93,37.89
2020-12-10 20:39,7.9,37.86
